,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1797,0.107,1.683,0.094,-0.031,0.39
mkt-rf,0.9485,0.025,37.335,0.0,0.898,0.999
FX Factor,-0.0068,0.004,-1.732,0.085,-0.015,0.001
