,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0433,0.071,-0.612,0.541,-0.183,0.096
mkt-rf,0.9983,0.012,86.341,0.0,0.976,1.021
FX Factor,0.0014,0.002,0.595,0.553,-0.003,0.006
