,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1088,0.144,0.757,0.45,-0.174,0.392
mkt-rf,1.0418,0.023,44.366,0.0,0.996,1.088
FX Factor,-0.0026,0.005,-0.566,0.572,-0.012,0.007
