,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0969,0.066,-1.463,0.145,-0.227,0.034
mkt-rf,0.9899,0.011,91.434,0.0,0.969,1.011
FX Factor,0.0029,0.002,1.37,0.172,-0.001,0.007
