,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0287,0.16,0.18,0.857,-0.286,0.343
mkt-rf,1.0353,0.038,27.254,0.0,0.961,1.11
FX Factor,-0.0004,0.006,-0.072,0.943,-0.012,0.011
