,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1003,0.17,-0.592,0.555,-0.434,0.234
mkt-rf,0.9779,0.015,65.808,0.0,0.949,1.007
FX Factor,0.0032,0.006,0.533,0.594,-0.009,0.015
