,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.2523,0.235,-1.074,0.284,-0.715,0.21
mkt-rf,0.9778,0.021,47.509,0.0,0.937,1.018
FX Factor,0.0087,0.008,1.05,0.295,-0.008,0.025
