,coef,std err,t,P>|t|,[0.025,0.975]
const,0.4047,0.256,1.583,0.115,-0.099,0.908
mkt-rf,1.0432,0.042,24.969,0.0,0.961,1.126
FX Factor,-0.0121,0.008,-1.471,0.143,-0.028,0.004
