,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1103,0.127,-0.87,0.385,-0.36,0.139
mkt-rf,0.9877,0.011,88.934,0.0,0.966,1.01
FX Factor,0.0038,0.004,0.838,0.403,-0.005,0.013
