,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1974,0.084,-2.36,0.019,-0.362,-0.033
mkt-rf,1.0001,0.014,73.176,0.0,0.973,1.027
FX Factor,0.0064,0.003,2.375,0.018,0.001,0.012
