,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0771,0.222,0.348,0.729,-0.36,0.514
mkt-rf,0.9983,0.019,51.362,0.0,0.96,1.037
FX Factor,-0.0029,0.008,-0.373,0.709,-0.018,0.013
