,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0094,0.045,-0.21,0.834,-0.098,0.079
mkt-rf,0.9924,0.007,135.383,0.0,0.978,1.007
FX Factor,9.637e-05,0.001,0.067,0.947,-0.003,0.003
