,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0622,0.054,-1.159,0.248,-0.168,0.044
mkt-rf,0.9949,0.009,113.389,0.0,0.978,1.012
FX Factor,0.0019,0.002,1.084,0.279,-0.002,0.005
