,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0745,0.048,-1.543,0.124,-0.17,0.021
mkt-rf,0.9877,0.008,125.139,0.0,0.972,1.003
FX Factor,0.0021,0.002,1.36,0.175,-0.001,0.005
