,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1042,0.07,1.498,0.135,-0.033,0.241
mkt-rf,0.9998,0.011,87.915,0.0,0.977,1.022
FX Factor,-0.0034,0.002,-1.499,0.135,-0.008,0.001
