,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.055,0.056,-0.989,0.324,-0.164,0.055
mkt-rf,1.0032,0.009,110.409,0.0,0.985,1.021
FX Factor,0.0018,0.002,1.018,0.31,-0.002,0.005
