,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0093,0.051,-0.182,0.856,-0.11,0.091
mkt-rf,1.0054,0.008,123.509,0.0,0.989,1.021
FX Factor,0.0005,0.002,0.261,0.794,-0.003,0.004
