,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.048,0.076,-0.628,0.531,-0.199,0.103
mkt-rf,1.0068,0.012,82.385,0.0,0.983,1.031
FX Factor,0.0019,0.003,0.614,0.54,-0.004,0.008
