,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0695,0.105,0.661,0.509,-0.138,0.277
mkt-rf,0.9984,0.025,39.898,0.0,0.949,1.048
FX Factor,-0.0023,0.004,-0.603,0.547,-0.01,0.005
