,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.191,0.189,-1.011,0.313,-0.563,0.181
mkt-rf,1.0376,0.045,23.091,0.0,0.949,1.126
FX Factor,0.007,0.007,1.007,0.315,-0.007,0.021
