,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0801,0.067,-1.198,0.232,-0.212,0.052
mkt-rf,0.988,0.011,90.401,0.0,0.966,1.01
FX Factor,0.0023,0.002,1.045,0.297,-0.002,0.007
