,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0474,0.062,-0.76,0.448,-0.17,0.075
mkt-rf,1.0077,0.01,101.154,0.0,0.988,1.027
FX Factor,0.0019,0.002,0.78,0.436,-0.003,0.007
