,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0074,0.069,-0.107,0.915,-0.144,0.129
mkt-rf,0.9965,0.011,90.129,0.0,0.975,1.018
FX Factor,8.736e-05,0.003,0.032,0.975,-0.005,0.005
