,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0892,0.315,0.283,0.777,-0.531,0.709
mkt-rf,1.0223,0.028,37.068,0.0,0.968,1.077
FX Factor,-0.0028,0.011,-0.25,0.803,-0.025,0.019
