,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0746,0.07,-1.063,0.289,-0.213,0.064
mkt-rf,1.0121,0.011,90.321,0.0,0.99,1.034
FX Factor,0.003,0.003,1.087,0.278,-0.002,0.008
