,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.093,0.06,-1.542,0.124,-0.212,0.026
mkt-rf,1.0182,0.014,70.939,0.0,0.99,1.046
FX Factor,0.0034,0.002,1.523,0.129,-0.001,0.008
