,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.236,0.17,-1.385,0.167,-0.572,0.1
mkt-rf,1.067,0.041,26.323,0.0,0.987,1.147
FX Factor,0.009,0.006,1.426,0.155,-0.003,0.021
