,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0369,0.084,-0.439,0.661,-0.203,0.129
mkt-rf,1.004,0.013,74.645,0.0,0.978,1.03
FX Factor,0.0014,0.003,0.428,0.669,-0.005,0.008
