,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0859,0.302,-0.284,0.777,-0.682,0.51
mkt-rf,0.9861,0.027,37.198,0.0,0.934,1.038
FX Factor,0.0029,0.011,0.274,0.784,-0.018,0.024
