,Date,Individual Return,Weighted Return,FX Factor,risk-free,mkt-rf,risk premium,const,[mkt-rf],FX factor
1,2019-01-03,0.014662757254357537,-0.006459998370716091,30.905,0.842,-0.8484599983707161,-0.8273372427456425,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
2,2019-01-04,-0.007225433844657141,-0.011578728833594454,30.787,0.85,-0.8615787288335944,-0.8572254338446571,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
3,2019-01-07,0.0,0.02214653053959892,30.805,0.87,-0.8478534694604011,-0.87,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
4,2019-01-08,-0.0029111638591900225,-0.002784083486050082,30.838,0.88,-0.8827840834860501,-0.88291116385919,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
5,2019-01-09,0.018978146740989965,0.018268222016136537,30.783,0.88,-0.8617317779838635,-0.86102185325901,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
6,2019-01-10,0.005730571332321764,-0.001809260683056535,30.787,0.88,-0.8818092606830565,-0.8742694286676782,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
7,2019-01-11,-0.01566949461453841,0.003982223404551455,30.796,0.88,-0.8760177765954485,-0.8956694946145384,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
8,2019-01-14,0.011577468443178399,-0.00524424268028445,30.835,0.86,-0.8652442426802844,-0.8484225315568216,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
9,2019-01-15,0.007153075666455976,0.010076029926718189,30.826,0.875,-0.8649239700732818,-0.867846924333544,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
10,2019-01-16,-0.009943246625916597,-0.004306577230133057,30.797,0.875,-0.8793065772301331,-0.8849432466259166,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
11,2019-01-17,0.027259707447186966,0.0025953824816034032,30.824,0.875,-0.8724046175183966,-0.847740292552813,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
12,2019-01-18,0.005586613608986063,0.004791956177568224,30.864,0.875,-0.8702080438224318,-0.869413386391014,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
13,2019-01-21,-0.001388867696126302,0.00542298670836594,30.885,0.875,-0.8695770132916341,-0.8763888676961263,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
14,2019-01-22,0.0013907993323908538,0.0005318589011711339,30.889,0.875,-0.8744681410988289,-0.8736092006676092,-0.011510112055637345,0.9978634786988462,0.00032270891741281726
