,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0954,0.134,-0.714,0.476,-0.359,0.168
mkt-rf,0.9781,0.022,44.807,0.0,0.935,1.021
FX Factor,0.0025,0.004,0.579,0.563,-0.006,0.011
