,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.039,0.061,-0.642,0.522,-0.159,0.081
mkt-rf,1.0083,0.01,103.727,0.0,0.989,1.027
FX Factor,0.0016,0.002,0.681,0.496,-0.003,0.006
