,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0237,0.149,0.159,0.874,-0.27,0.317
mkt-rf,0.9917,0.013,75.903,0.0,0.966,1.017
FX Factor,-0.001,0.005,-0.19,0.85,-0.011,0.009
