,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0614,0.113,-0.541,0.589,-0.285,0.162
mkt-rf,1.0088,0.027,37.383,0.0,0.956,1.062
FX Factor,0.0022,0.004,0.521,0.603,-0.006,0.01
