,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1935,0.105,-1.847,0.066,-0.4,0.013
mkt-rf,1.0393,0.017,62.073,0.0,1.006,1.072
FX Factor,0.0081,0.004,1.955,0.052,-5.92e-05,0.016
