,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0054,0.188,-0.029,0.977,-0.376,0.366
mkt-rf,0.9938,0.017,60.211,0.0,0.961,1.026
FX Factor,0.0001,0.007,0.019,0.985,-0.013,0.013
