,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.212,0.358,-0.593,0.554,-0.916,0.492
mkt-rf,0.9776,0.04,24.542,0.0,0.899,1.056
FX Factor,0.0072,0.013,0.577,0.565,-0.017,0.032
