,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0136,0.063,-0.217,0.828,-0.137,0.11
mkt-rf,0.9949,0.01,97.344,0.0,0.975,1.015
FX Factor,0.0003,0.002,0.138,0.891,-0.004,0.004
