,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1326,0.129,1.025,0.306,-0.122,0.388
mkt-rf,1.0215,0.021,48.3,0.0,0.98,1.063
FX Factor,-0.0038,0.004,-0.914,0.362,-0.012,0.004
