,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0254,0.155,-0.164,0.87,-0.331,0.28
mkt-rf,1.0025,0.014,73.781,0.0,0.976,1.029
FX Factor,0.001,0.005,0.175,0.862,-0.01,0.012
