,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1485,0.095,-1.566,0.119,-0.335,0.038
mkt-rf,0.9774,0.008,117.608,0.0,0.961,0.994
FX Factor,0.0049,0.003,1.473,0.142,-0.002,0.012
