,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0506,0.064,-0.791,0.43,-0.176,0.075
mkt-rf,1.0036,0.01,98.276,0.0,0.983,1.024
FX Factor,0.0019,0.003,0.764,0.446,-0.003,0.007
