,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.11,0.108,-1.017,0.31,-0.323,0.103
mkt-rf,0.9773,0.009,103.164,0.0,0.959,0.996
FX Factor,0.0035,0.004,0.927,0.355,-0.004,0.011
