,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0721,0.074,0.979,0.328,-0.073,0.217
mkt-rf,0.9662,0.018,55.19,0.0,0.932,1.001
FX Factor,-0.0029,0.003,-1.079,0.282,-0.008,0.002
