,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0469,0.075,0.625,0.533,-0.101,0.195
mkt-rf,0.9746,0.018,54.609,0.0,0.939,1.01
FX Factor,-0.002,0.003,-0.705,0.482,-0.007,0.004
