,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0054,0.076,0.071,0.943,-0.144,0.155
mkt-rf,0.9953,0.018,55.21,0.0,0.96,1.031
FX Factor,-0.0003,0.003,-0.091,0.927,-0.006,0.005
