,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.2112,0.096,-2.198,0.029,-0.401,-0.022
mkt-rf,1.0412,0.023,45.539,0.0,0.996,1.086
FX Factor,0.0078,0.004,2.193,0.029,0.001,0.015
