,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0719,0.105,-0.682,0.496,-0.28,0.136
mkt-rf,1.0085,0.017,59.819,0.0,0.975,1.042
FX Factor,0.0027,0.004,0.637,0.525,-0.006,0.011
