,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1446,0.085,-1.706,0.089,-0.312,0.022
mkt-rf,1.0263,0.014,75.745,0.0,1.0,1.053
FX Factor,0.0059,0.003,1.747,0.082,-0.001,0.012
