,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0453,0.185,-0.245,0.807,-0.41,0.319
mkt-rf,0.9804,0.016,60.42,0.0,0.948,1.012
FX Factor,0.0013,0.007,0.192,0.848,-0.012,0.014
