,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0629,0.104,0.607,0.545,-0.141,0.267
mkt-rf,0.9848,0.017,59.406,0.0,0.952,1.017
FX Factor,-0.0028,0.004,-0.684,0.495,-0.011,0.005
