,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0903,0.141,0.639,0.523,-0.188,0.369
mkt-rf,1.0126,0.023,43.875,0.0,0.967,1.058
FX Factor,-0.0026,0.005,-0.568,0.57,-0.012,0.006
