,Date,Individual Return,Weighted Return,FX Factor,risk-free,mkt-rf,risk premium,const,[mkt-rf],FX factor
1,2019-01-03,0.02345054762630306,-0.006459998370716091,30.905,0.842,-0.8484599983707161,-0.8185494523736969,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
2,2019-01-04,-0.004909971269272806,-0.011578728833594454,30.787,0.85,-0.8615787288335944,-0.8549099712692728,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
3,2019-01-07,0.026315827448943133,0.02214653053959892,30.805,0.87,-0.8478534694604011,-0.8436841725510569,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
4,2019-01-08,0.009615359927070815,-0.002784083486050082,30.838,0.88,-0.8827840834860501,-0.8703846400729291,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
5,2019-01-09,-0.026984139094277035,0.018268222016136537,30.783,0.88,-0.8617317779838635,-0.906984139094277,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
6,2019-01-10,0.0,-0.001809260683056535,30.787,0.88,-0.8818092606830565,-0.88,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
7,2019-01-11,0.003262655227221232,0.003982223404551455,30.796,0.88,-0.8760177765954485,-0.8767373447727788,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
8,2019-01-14,-0.021138198976594257,-0.00524424268028445,30.835,0.86,-0.8652442426802844,-0.8811381989765943,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
9,2019-01-15,-0.008305647735270658,0.010076029926718189,30.826,0.875,-0.8649239700732818,-0.8833056477352706,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
10,2019-01-16,-0.011725305762039444,-0.004306577230133057,30.797,0.875,-0.8793065772301331,-0.8867253057620395,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
11,2019-01-17,0.013559309102721134,0.0025953824816034032,30.824,0.875,-0.8724046175183966,-0.8614406908972788,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
12,2019-01-18,-0.0016722153076403476,0.004791956177568224,30.864,0.875,-0.8702080438224318,-0.8766722153076404,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
13,2019-01-21,-0.0016750801933061072,0.00542298670836594,30.885,0.875,-0.8695770132916341,-0.8766750801933061,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
14,2019-01-22,0.02348995908929093,0.0005318589011711339,30.889,0.875,-0.8744681410988289,-0.851510040910709,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
15,2019-01-23,0.0032787010317943135,-0.004877354539005174,30.841,0.85,-0.8548773545390052,-0.8467212989682057,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
16,2019-01-24,0.013071882795547251,0.0031198941078760534,30.862,0.86,-0.8568801058921239,-0.8469281172044527,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
17,2019-01-25,0.0016128786148563508,0.009364089256548969,30.708,0.87,-0.860635910743451,-0.8683871213851436,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
18,2019-01-28,-0.00483090570743839,0.004385299427038136,30.779,0.87,-0.8656147005729619,-0.8748309057074384,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
19,2019-01-29,-0.00647245495339372,-0.00816314190556533,30.787,0.89,-0.8981631419055653,-0.8964724549533938,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
20,2019-01-30,0.009771961876388652,6.745363889759659e-05,30.712,0.87,-0.8699325463611024,-0.8602280381236114,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
21,2019-02-11,0.04032258064516129,0.007248122388437084,30.862,0.825,-0.8177518776115629,-0.7846774193548387,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
22,2019-02-12,0.02945738799812258,0.009345051790488945,30.79,0.838,-0.828654948209511,-0.8085426120018774,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
23,2019-02-13,0.01807224278111647,-0.000709085011478594,30.825,0.838,-0.8387090850114786,-0.8199277572188834,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
24,2019-02-14,0.005917182469050446,-0.0001556216280770295,30.82,0.84,-0.840155621628077,-0.8340828175309495,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
25,2019-02-15,0.010294072768267463,-0.0024015728748776333,30.812,0.82,-0.8224015728748776,-0.8097059272317325,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
26,2019-02-18,0.017467316316488176,0.007998187522528566,30.818,0.825,-0.8170018124774714,-0.8075326836835118,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
27,2019-02-19,-0.014306151332911953,0.0006879545955742472,30.776,0.825,-0.8243120454044257,-0.8393061513329119,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
28,2019-02-20,0.010159607151521876,0.011839747808610301,30.785,0.83,-0.8181602521913897,-0.8198403928484781,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
29,2019-02-21,0.020114964893274523,0.0045821850539200515,30.801,0.82,-0.8154178149460799,-0.7998850351067255,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
30,2019-02-22,0.004225395095180458,0.0003284692566118963,30.746,0.83,-0.8296715307433881,-0.8257746049048195,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
31,2019-02-25,0.04067312443702454,0.006588229506738985,30.733,0.83,-0.823411770493261,-0.7893268755629754,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
32,2019-02-26,-0.010781609909247217,5.967870115086704e-05,30.756,0.83,-0.8299403212988491,-0.8407816099092472,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
33,2019-02-27,0.008174365962506827,-0.00022902096965615737,30.782,0.825,-0.8252290209696561,-0.8168256340374931,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
34,2019-03-04,0.024324365564294764,-0.003781826590377735,30.823,0.84,-0.8437818265903777,-0.8156756344357052,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
35,2019-03-05,-0.030343046954593427,-0.004311172466996305,30.831,0.835,-0.8393111724669963,-0.8653430469545934,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
36,2019-03-06,-0.006802721088435374,0.005035353419531541,30.828,0.835,-0.8299646465804684,-0.8418027210884353,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
37,2019-03-07,-0.0013698421112478597,-0.0043902715911279255,30.905,0.835,-0.8393902715911279,-0.8363698421112479,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
38,2019-03-08,0.0013717211526476458,-0.006781600051519288,30.895,0.82,-0.8267816000515192,-0.8186282788473523,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
39,2019-03-11,0.00684931506849315,0.0008328921754094942,30.897,0.83,-0.8291671078245905,-0.8231506849315068,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
40,2019-03-12,-0.008163244545865221,0.00907778150502181,30.891,0.825,-0.8159222184949781,-0.8331632445458652,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
41,2019-03-13,-0.006858710418853751,0.002899475715120614,30.896,0.82,-0.8171005242848793,-0.8268587104188537,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
42,2019-03-14,0.019337037242720016,-0.0023782088214583386,30.916,0.82,-0.8223782088214583,-0.8006629627572799,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
43,2019-03-15,-0.008130163668080413,0.008753783375662794,30.849,0.805,-0.7962462166243373,-0.8131301636680804,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
44,2019-03-18,-0.05601091045154136,0.0070369068330859985,30.766,0.8,-0.792963093166914,-0.8560109104515414,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
45,2019-03-19,0.014471780348512075,-3.6135607925813495e-05,30.799,0.8,-0.8000361356079259,-0.785528219651488,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
46,2019-03-20,-0.00570615598553223,0.0037326923691471947,30.739,0.81,-0.8062673076308529,-0.8157061559855323,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
47,2019-03-21,0.010043107722896,0.005495892241196287,30.797,0.79,-0.7845041077588037,-0.7799568922771041,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
48,2019-03-22,-0.008522705413586325,0.0027824467914234763,30.866,0.79,-0.7872175532085766,-0.7985227054135864,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
49,2019-03-25,-0.028653293876176024,-0.01500035614601547,30.83,0.78,-0.7950003561460155,-0.808653293876176,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
50,2019-03-26,0.010324438299918913,0.007607221254930074,30.839,0.78,-0.77239277874507,-0.7696755617000811,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
51,2019-03-27,0.021897810218978103,-0.00156261835127669,30.866,0.78,-0.7815626183512767,-0.758102189781022,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
52,2019-03-28,-0.01857147216796875,-0.0006108899587567995,30.857,0.77,-0.7706108899587568,-0.7885714721679687,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
53,2019-03-29,-0.013100348420137782,0.009944731410225005,30.838,0.77,-0.760055268589775,-0.7831003484201378,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
54,2019-04-01,-0.022123892809487275,0.0001494068008545124,30.783,0.78,-0.7798505931991455,-0.8021238928094873,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
55,2019-04-02,0.013574567949593984,0.0044791487066542235,30.835,0.78,-0.7755208512933458,-0.766425432050406,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
56,2019-04-03,0.010416735259316547,0.0013170891726372869,30.788,0.78,-0.7786829108273627,-0.7695832647406835,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
57,2019-04-08,0.014727540169772565,0.00898608146763813,30.821,0.75,-0.7410139185323619,-0.7352724598302275,0.005434779057481576,0.9823858863376131,-0.0006291121999538463
