,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0137,0.045,0.307,0.759,-0.074,0.102
mkt-rf,0.9979,0.007,139.896,0.0,0.984,1.012
FX Factor,-0.0005,0.002,-0.292,0.77,-0.004,0.003
