,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1079,0.109,0.992,0.322,-0.106,0.322
mkt-rf,0.9603,0.026,37.139,0.0,0.909,1.011
FX Factor,-0.0042,0.004,-1.054,0.293,-0.012,0.004
