,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.2652,0.263,-1.006,0.315,-0.784,0.254
mkt-rf,1.0847,0.063,17.305,0.0,0.961,1.208
FX Factor,0.0102,0.01,1.05,0.295,-0.009,0.029
