,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0313,0.144,-0.218,0.828,-0.314,0.251
mkt-rf,1.0131,0.023,44.173,0.0,0.968,1.058
FX Factor,0.0016,0.006,0.288,0.774,-0.01,0.013
