,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0682,0.059,-1.152,0.25,-0.185,0.048
mkt-rf,1.0138,0.009,107.073,0.0,0.995,1.032
FX Factor,0.0029,0.002,1.222,0.223,-0.002,0.007
