,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0119,0.074,0.162,0.872,-0.133,0.157
mkt-rf,0.993,0.012,84.171,0.0,0.97,1.016
FX Factor,-0.0007,0.003,-0.229,0.819,-0.006,0.005
