,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0053,0.05,0.107,0.915,-0.092,0.103
mkt-rf,1.0059,0.008,126.893,0.0,0.99,1.022
FX Factor,8.563e-05,0.002,0.044,0.965,-0.004,0.004
