,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0497,0.053,-0.938,0.349,-0.154,0.055
mkt-rf,0.9978,0.013,79.205,0.0,0.973,1.023
FX Factor,0.0016,0.002,0.834,0.405,-0.002,0.005
