,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0379,0.074,-0.513,0.608,-0.184,0.108
mkt-rf,0.9957,0.012,82.362,0.0,0.972,1.02
FX Factor,0.0011,0.002,0.465,0.642,-0.004,0.006
