,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0313,0.068,-0.463,0.644,-0.164,0.102
mkt-rf,0.9859,0.011,89.317,0.0,0.964,1.008
FX Factor,0.0007,0.002,0.31,0.757,-0.004,0.005
