,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0186,0.109,0.17,0.865,-0.197,0.234
mkt-rf,0.9829,0.026,37.805,0.0,0.932,1.034
FX Factor,-0.0009,0.004,-0.227,0.82,-0.009,0.007
